sep=,
Table Name,Column Name,Data Type Column,Description,IsHidden,Sample Row 1 Value,Sample Row 2 Value,Sample Row 3 Value
d_Company,Company Name,String,,False,,,
d_Company,Company Code|Name,String,,False,,,
d_Company,Company Name|Code,String,,False,,,
d_Company,Index,Integer,,False,,,
d_Company,Company Code,Integer,,False,,,
s_ReportLines,Line N°,Integer,,False,,,
s_ReportLines,Reporting Line,String,,False,,,
s_ReportLines,Report Full,String,,False,,,
s_ReportLines,Line Name,String,,False,,,
s_ReportLines,Sign,String,,False,,,
s_ReportLines,Number Format,String,,False,,,
s_ReportLines,Nominator element,String,,False,,,
s_ReportLines,Denominator,String,,False,,,
s_ReportLines,Indent Repeat,Integer,,False,,,
s_ReportLines,Line Name (Indent),String,,False,,,
s_ReportLines,Line counter,Integer,,False,,,
s_ReportLines,Level0_BackColor,String,,False,,,
s_ReportLines,Level1_BackColor,String,,False,,,
s_ReportLines,Level2_BackColor,String,,False,,,
s_ReportLines,Level0_FontColor,String,,False,,,
s_ReportLines,Level1_FontColor,String,,False,,,
s_ReportLines,Level2_FontColor,String,,False,,,
s_ReportLines,Sign2,String,,False,,,
s_ReportLines,Report ID,String,,False,,,
s_ReportLines,Report Type,String,,False,,,
s_ReportLines,Report - Line ID,String,,False,,,
d_Date,Date,DateTime,,False,,,
d_Date,YearSortnr,Integer,,False,,,
d_Date,MonthSortnr,Integer,,False,,,
d_Date,DayofMonthnr,Integer,,False,,,
d_Date,DateSortnr,Integer,,False,,,
d_Date,Month (long-en),String,,False,,,
d_Date,Month (mmm-en),String,,False,,,
d_Date,YearMonthseqnr,Integer,,False,,,
d_Date,YearMonthSortNr,Integer,,False,,,
d_Date,Month Year (MMMYY),String,,False,,,
d_Date,Month Year (MMM YYYY),String,,False,,,
d_Date,QuarterSortnr,Integer,,False,,,
d_Date,Quarter,String,,False,,,
d_Date,YearQuarterSortnr,Integer,,False,,,
d_Date,QuarterYear,String,,False,,,
d_Date,Weekdaynr,Integer,,False,,,
d_Date,WeekdayName (ddd-en),String,,False,,,
d_Date,End of Month Flag,Integer,,False,,,
d_Date,Days in Month,Integer,,False,,,
d_Date,Week of Year,Integer,,False,,,
d_Date,Week of Month,Integer,,False,,,
d_Date,Start of Week,DateTime,,False,,,
d_Date,End of Week,DateTime,,False,,,
d_Date,Holiday,String,,False,,,
d_Date,Working day (0/1),Integer,,False,,,
d_Date,Month Initial,String,,False,,,
d_GL Account,BS_PL Line,String,,False,,,
d_GL Account,GL Account Name,String,,False,,,
d_GL Account,GL Account Code,String,,False,,,
d_GL Account,System,String,,False,,,
d_GL Account,GL Account ID,String,,False,,,
d_GL Account,GL Account Full,String,,False,,,
d_GL Account,GL Domain,String,,False,,,
d_GL Account,GL Factor,Integer,,False,,,
d_GL Account,Value Ledger Relevant,String,,False,,,
d_GL Account,Movement GL,String,,False,,,
d_GL Account,Cost price used,String,,False,,,
d_GL Account,Default CC,String,,False,,,
d_GL Account,Default Ctry,String,,False,,,
d_GL Account,Aggregation detail,String,,False,,,
d_GL Account,Initial / Reversal,String,,False,,,
d_GL Account,Statutory / Secondary,String,,False,,,
d_GL Account,GL Account Type,String,,False,,,
z_Today,Today,DateTime,,False,,,
z_Today,Now,DateTime,,False,,,
z_Today,TodayPeriod,Integer,,False,,,
z_Today,TodayYear,Integer,,False,,,
z_Today,TodayFlag,String,,False,,,
s_Scale,Scale,Integer,,False,,,
s_Scale,Scale name,String,,False,,,
dyn_RowLevel_1,dyn_RowLevel_1,String,,False,,,
dyn_RowLevel_1,Use,String,,False,,,
dyn_RowLevel_1,Value5,String,,False,,,
dyn_RowLevel_2,dyn_RowLevel_2,String,,False,,,
dyn_RowLevel_2,Use,String,,False,,,
dyn_RowLevel_2,Value5,String,,False,,,
dyn_RowLevel_3,dyn_RowLevel_3,String,,False,,,
dyn_RowLevel_3,Use,String,,False,,,
dyn_RowLevel_3,Value5,String,,False,,,
dfp_dyn_Column,dyn_Column,String,,False,,,
dfp_dyn_Column,Use,String,,False,,,
dfp_dyn_Column,Value5,String,,False,,,
d_BS_PL_CF,Line,String,,False,,,
dyn_Filter_2,dyn_Filter_2,String,,False,,,
dyn_Filter_2,Value4,String,,False,,,
dyn_Filter_2,Scope,String,,False,,,
dyn_Filter_1,dyn_Filter_1,String,,False,,,
dyn_Filter_1,Value4,String,,False,,,
dyn_Filter_1,Scope,String,,False,,,
dyn_Filter_3,dyn_Filter_3,String,,False,,,
dyn_Filter_3,Value4,String,,False,,,
dyn_Filter_3,Scope,String,,False,,,
dyn_Filter_4,dyn_Filter_4,String,,False,,,
dyn_Filter_4,Value4,String,,False,,,
dyn_Filter_4,Scope,String,,False,,,
s_LevelSelection,Level,Integer,,False,,,
SelectedLevels,Value,Integer,,False,,,
SelectedLevels,Level,Integer,,False,,,
SelectedLevels,SelectedLevels,Integer,,False,,,
d_CostCenter,Cost Center Code,String,,False,,,
d_CostCenter,Dimension Code,String,,False,,,
d_CostCenter,Cost Center ID,String,,False,,,
d_CostCenter,Cost Center Name,String,,False,,,
d_CostCenter,System,String,,False,,,
d_CostCenter,Cost Center Full,String,,False,,,
d_CostCenter,CC DOMAIN,String,,False,,,
d_CostCenter,CC Typology,String,,False,,,
d_CostCenter,CC PC,String,,False,,,
d_CostCenter,Source,String,,False,,,
d_CostCenter,Work Center,String,,False,,,
d_Country,Country Code,String,,False,,,
d_Country,Dimension Code,String,,False,,,
d_Country,Country ID,String,,False,,,
d_Country,Country Name,String,,False,,,
d_Country,System,String,,False,,,
d_Country,Country Full,String,,False,,,
d_Country,CTRY Countryflag,String,,False,,,
d_Country,CTRY Continent,String,,False,,,
d_Country,CTRY DOMAIN,String,,False,,,
d_Country,CTRY Typology,String,,False,,,
d_Country,CTRY PC,String,,False,,,
d_Country,Source,String,,False,,,
d_Period,Year Nr,Integer,,False,,,
d_Period,Month Nr,Integer,,False,,,
d_Period,Year Month Nr,Integer,,False,,,
d_Period,Year Month Seqnr,Integer,,False,,,
d_Period,Month (MMM),String,,False,,,
d_Period,Month Year (MMMYY),String,,False,,,
d_Period,Quarter (QQ),String,,False,,,
d_Period,Quarter Year (QQ YY),String,,False,,,
d_Period,Semester (SS),String,,False,,,
d_Period,Semester Year (SS YY),String,,False,,,
d_Period,Quarter Nr,Integer,,False,,,
d_Period,Semester Nr,Integer,,False,,,
d_Period,Year Quarter Nr,Integer,,False,,,
d_Period,Year Semester Nr,Integer,,False,,,
d_Period,Fiscal Year Nr,Integer,,False,,,
d_Period,Fiscal Month Nr,Integer,,False,,,
