sep=,
Table Name,Column Name,Data Type Column,Sample Row 1 Value,Sample Row 2 Value,Sample Row 3 Value
d_Company,Company Name,String,Vincent Sheppard,,
d_Company,Company Code|Name,String,10000|Vincent Sheppard,,
d_Company,Company Name|Code,String,Vincent Sheppard|10000,,
d_Company,Index,Integer,1,,
d_Company,Company Code,Integer,10000,,
s_ReportLines,Line N°,Integer,68,67,66
s_ReportLines,Reporting Line,String,[P2_NETS] Discounts,[P2_NETS] Other,[P2_NETS] Invoiced transport
s_ReportLines,Report Full,String,07|MN. Managerial P&L,07|MN. Managerial P&L,07|MN. Managerial P&L
s_ReportLines,Line Name,String,[P2_NETS] Discounts,[P2_NETS] Other,[P2_NETS] Invoiced transport
s_ReportLines,Sign,String,Keep,Keep,Keep
s_ReportLines,Number Format,String,Crcy,Crcy,Crcy
s_ReportLines,Nominator element,String,[P2_NETS] Discounts,[P2_NETS] Other,[P2_NETS] Invoiced transport
s_ReportLines,Denominator,String,Net Turnover,Net Turnover,Net Turnover
s_ReportLines,Indent Repeat,Integer,0,0,0
s_ReportLines,Line Name (Indent),String,[P2_NETS] Discounts,[P2_NETS] Other,[P2_NETS] Invoiced transport
s_ReportLines,Line counter,Integer,0,0,0
s_ReportLines,Level0_BackColor,String,#FFFFE5,#FFFFE5,#FFFFE5
s_ReportLines,Level1_BackColor,String,#FFFFE5,#FFFFE5,#FFFFE5
s_ReportLines,Level2_BackColor,String,#FFFFE5,#FFFFE5,#FFFFE5
s_ReportLines,Level0_FontColor,String,#FFFFFF,#FFFFFF,#FFFFFF
s_ReportLines,Level1_FontColor,String,#FFFFFF,#FFFFFF,#FFFFFF
s_ReportLines,Level2_FontColor,String,#FFFFFF,#FFFFFF,#FFFFFF
s_ReportLines,Sign2,String,N,N,N
s_ReportLines,Report ID,String,1,1,1
s_ReportLines,Report Type,String,P&L,P&L,P&L
s_ReportLines,Report - Line ID,String,4,3,2
d_Date,Date,DateTime,04/01/2023 00:00:00,03/01/2023 00:00:00,02/01/2023 00:00:00
d_Date,YearSortnr,Integer,2023,2023,2023
d_Date,MonthSortnr,Integer,1,1,1
d_Date,DayofMonthnr,Integer,4,3,2
d_Date,DateSortnr,Integer,20230104,20230103,20230102
d_Date,Month (long-en),String,January,January,January
d_Date,Month (mmm-en),String,JAN,JAN,JAN
d_Date,YearMonthseqnr,Integer,24277,24277,24277
d_Date,YearMonthSortNr,Integer,202301,202301,202301
d_Date,Month Year (MMMYY),String,JAN23,JAN23,JAN23
d_Date,Month Year (MMM YYYY),String,JAN 2023,JAN 2023,JAN 2023
d_Date,QuarterSortnr,Integer,1,1,1
d_Date,Quarter,String,Q1,Q1,Q1
d_Date,YearQuarterSortnr,Integer,20231,20231,20231
d_Date,QuarterYear,String,Q1 2023,Q1 2023,Q1 2023
d_Date,Weekdaynr,Integer,3,2,1
d_Date,WeekdayName (ddd-en),String,Wed,Tue,Mon
d_Date,End of Month Flag,Integer,0,0,0
d_Date,Days in Month,Integer,31,31,31
d_Date,Week of Year,Integer,2,2,2
d_Date,Week of Month,Integer,2,2,2
d_Date,Start of Week,DateTime,02/01/2023 00:00:00,02/01/2023 00:00:00,02/01/2023 00:00:00
d_Date,End of Week,DateTime,08/01/2023 00:00:00,08/01/2023 00:00:00,08/01/2023 00:00:00
d_Date,Holiday,String,Dag van de Arbeid,Paasmaandag,Nieuwjaar
d_Date,Working day (0/1),Integer,1,1,1
d_Date,Month Initial,String,J,J,J
d_GL Account,BS_PL Line,String,Stocks,Stocks,Stocks
